date,open,high,low,close,volume,amount,market,symbol,source,fetched_at
20260127,410000,416500,404500,408500,330244,135299042750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260128,421500,455000,421500,431000,1462794,637497787000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260129,435000,435000,411500,416500,709422,296330947500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260130,417000,419500,398000,398000,579004,235166574250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260202,392500,400500,379000,380000,401037,155555457000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260203,391000,391500,381500,391000,271188,105214004500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260204,398000,405000,394000,402500,337066,135101685250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260205,399500,408500,392000,395000,338536,134795077000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260206,383500,386000,377000,385000,265446,101486138000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260209,398000,401500,388000,394500,230057,90378612750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260210,397500,399000,386500,390500,302157,117831080500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260211,393500,397500,388000,392000,187479,73378164250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260212,400000,411000,393000,410000,583824,237001666500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260213,404000,404500,394500,395000,321449,127814416250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260219,399500,403500,395500,403500,267049,107010516500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260220,403500,406500,400000,401500,219069,88092688250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260223,403500,405000,395500,396000,268719,106967885250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260224,407000,416500,403000,412500,588995,242216884500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260225,417500,429000,409000,426000,650523,274574034000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260226,431500,440000,419000,427000,540625,231384579750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260227,420000,434000,415500,427000,591387,252281092500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260303,414500,418000,389000,393000,489727,197552544500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260304,380000,390000,346000,347500,826847,300482717000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260305,376500,382000,366000,371500,541523,202663651500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260306,372000,382500,365000,377500,350799,130917588250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260309,360000,364500,350500,359500,414051,147376796500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260310,375500,376500,360000,367000,298332,109384502000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260311,375000,380750,367000,369500,263280,98701195500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260312,369500,384000,367000,384000,345803,130386327750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260313,370000,372500,363500,369000,370087,136317521000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260316,368500,373000,363500,366000,280349,102937780250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260317,371000,380500,370000,380500,345242,129788034500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260318,390500,390500,381500,383500,279721,107373811000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260319,374500,378500,371000,371000,213253,79807027750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260320,377000,378000,372000,375500,200932,75218991000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260323,362000,365000,355000,356000,302070,108417222500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260324,371500,392500,368000,392500,656541,251899280750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260325,392000,400000,386500,394000,352715,138642260000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260326,392500,393000,380000,384500,274503,106025187000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260327,374000,396000,366000,394500,372863,143166970250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260330,379500,414000,377000,410000,747897,303854880500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260331,406000,410000,390500,394500,518297,206926156500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260401,409500,410000,393500,407000,343583,138376529250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260402,407500,421500,399500,404500,532803,217704678000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260403,410000,414500,396500,398500,254074,102126942000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260406,399500,418000,399500,412500,393045,162115578500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260407,408000,423000,406000,408500,311134,128680707750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260408,419500,422000,400500,406000,521932,211682054250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260409,408000,422000,403000,421000,719468,300855005250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260410,421000,421000,410500,412000,273394,113399636750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260413,409500,414500,399000,401500,218403,88078530250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260414,406500,406500,399500,400000,269254,108222240250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260415,406000,412000,403500,408000,272401,110849901000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260416,412000,416500,408500,416000,317064,131153427000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260417,415500,422000,412000,418000,336530,140677195750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260420,419500,435500,416500,429000,563779,242316849250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260421,441500,478000,434000,478000,1363543,636131092500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260422,491500,493000,468000,484500,880220,424085543000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260423,481500,484000,460000,466500,529996,248030525500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260424,473000,486000,464000,481000,402718,191711449500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260427,478500,481000,461000,464000,433687,201736290750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260428,471500,478000,465000,472000,431570,203035420250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260429,472000,476000,464000,473000,306780,144282387500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260430,471000,471500,457000,460500,485223,224463139000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260504,469000,478000,461000,472000,425260,199992531500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260506,476000,486500,466000,482000,589631,282188027750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260507,482000,483000,464000,483000,463457,220223697500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260508,479500,489500,471500,476500,353449,169266947500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260511,478000,478500,463000,468000,407574,191152822000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260512,470000,480000,430500,443000,668326,298696607750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260513,443500,445000,425000,430000,455234,196655259250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260514,447000,447000,432000,442000,368128,161426073750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260515,450000,470000,410500,417000,798242,345510349000,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260518,414500,416500,391500,408000,373359,150241751140,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260519,411000,416000,389500,400000,376633,150075646750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260520,404000,406000,382000,384500,411862,159655308250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260521,397500,401000,391000,401000,300978,119682264500,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260522,411500,416000,394500,398500,435706,175718295750,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
20260526,408000,411000,397000,399500,321431,129010292250,kr,373220,KIS_DOMESTIC_DAILY_ITEMCHART,2026-05-26 15:53:05 KST
